,aspects,terms,text
551,['food'],"['stuff', 'eats']","otherwise, good stuff for late nite eats."
552,['food'],['dinner'],"The dinner was ok, nothing I would have again."
553,['food'],[],It is thick and slightly soggy.
554,['ambience'],[],Its not the same if you have to sit inside.
555,['food'],['gourmet food'],I love and I know gourmet food by excellence!
556,"['food', 'anecdotes/miscellaneous']","['bruschetta', 'panini']","I plan to come here again and look forward to trying their assortment of bruschetta, panini's....."
557,['ambience'],[],Great people watching as others do the same to you.
558,['anecdotes/miscellaneous'],[],Maybe it was just an unintentional mistake but I've experienced the same with other restaurants so I don't appreciate such practice.
559,"['service', 'food']","['dishes', 'menu']","Two people in our party felt like something else, and Volare immediately obliged with two great dishes that were not in their regular menu."
560,['service'],['service'],He offers subpar service and has no personality.
561,"['service', 'food']","['waitress', 'fried mini buns with the condensed milk and the assorted fruits on beancurd']","The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd."
562,['anecdotes/miscellaneous'],[],I'm going back.
563,['price'],"['food', 'prices']",Diner food at bistro prices is a bummer....
564,['anecdotes/miscellaneous'],[],My friends and I have been going here regularly for two years.
565,['anecdotes/miscellaneous'],[],"wow! how have i missed this one ,tried Long Tan last week for the first time and now know what the NY TIMES and many more in the neighborhood already knew."
566,['anecdotes/miscellaneous'],[],"Go there on an empty stomach and leave feeling like a baby Veal Calf(ok bad joke), but you will see."
567,"['ambience', 'food']",['food'],"While we thoroughly enjoyed the food, it was annoying to scream across the table for conversation."
568,['anecdotes/miscellaneous'],[],Me and my girls will definitely go back.
569,['food'],['sushi'],"The first time the sushi was outstanding, the second time it was a little bland."
570,"['food', 'service']","['portions', 'servers', 'starter']",The portions are large and the servers always surprise us with a different starter.
571,['food'],['bagels'],"delicious bagels, especially when right out of the oven."
572,['anecdotes/miscellaneous'],[],Ive passed by the spot tons of times always wanting to go in.
573,['food'],['food'],All the food was hot tasty.
574,['anecdotes/miscellaneous'],[],Have been several times and it never dissapoints.
575,['food'],"['pizza', 'take-out pizza']",This is one great place to eat pizza more out but not a good place for take-out pizza.
576,['service'],['server'],Our server was very helpful and friendly.
577,['food'],['green curry with vegetables'],Try green curry with vegetables.
578,"['anecdotes/miscellaneous', 'price']",[],Would recommend this place as a good date spot if you don't want to drop a ton of cash.
579,['service'],[],While I'm not sure that this happens all the time-this is the kind of treatment that buys repeat business!
580,['anecdotes/miscellaneous'],[],This place was not ALL THAT!
581,['ambience'],['place'],"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review."
582,"['ambience', 'service']",['door'],"The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime."
583,['price'],['priced'],Much more reasonably priced too!
584,['anecdotes/miscellaneous'],[],"If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona."
585,['food'],"['food', 'portioins']","The food was not very tasty, the portioins were tiny even for such a high quality restaurant."
586,['anecdotes/miscellaneous'],[],My friend from Milan and myself were pleasantly surprised when we arrived and everyone spoke italian.
587,['anecdotes/miscellaneous'],[],Others have to go to other restaurants and feel sad until they're eaten.
588,['service'],['reservation'],Why make a reservation if you aren't going to keep it?
589,['food'],['Pad Thai'],"The Pad Thai is excellent here, as well."
590,['ambience'],[],Big and gawky on the outside.
591,['anecdotes/miscellaneous'],[],I have been to Mary's many times and I like it.
592,['anecdotes/miscellaneous'],[],"Searching to get out from the cold, freezing weather, we went into what we thought was a deli."
593,['food'],['lunch specials'],I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.
594,['anecdotes/miscellaneous'],[],HIGHLY RECOMMENDED!!!!!
595,['anecdotes/miscellaneous'],[],This is the best thing in Soho.
596,['anecdotes/miscellaneous'],[],Went here last night and had a pleasant experience.
597,"['anecdotes/miscellaneous', 'food']","['place', 'pizzas']","We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas."
598,['anecdotes/miscellaneous'],[],I came here with my boyfriend for our anniversary because it was highly recommended to him by a friend.
599,['price'],[],"For $760 for 2 people, it's a once in a lifetime experience."
600,['food'],['food'],"The food is o.k., but not any better than what you get at a good neighborhood restaurant."
601,['food'],"['pot-stickers', 'tempura dis']",We had the pot-stickers which were great and a tempura dish that was great.
602,['service'],['stuff'],I think the stuff was better than Disney.
603,['anecdotes/miscellaneous'],[],"After reading the good reviews of this restaurant, I decided to give it a try with two friends."
604,"['anecdotes/miscellaneous', 'ambience', 'price', 'food']","['food', 'atmosphere', 'entree range']","While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return."
605,['food'],['French food'],"Orsay, is without a doubt one of the best values for authentic French food in NYC."
606,['service'],[],I had been searching really hard for a restaurant in New York where I could really feel unwanted and ignored and I finally found it!
607,['anecdotes/miscellaneous'],[],It's definately not a place to go if you want to impress someone.
608,"['food', 'service']","['deliveries', 'food']","Well, their deliveries take for ever and the food is usually cold."
609,['service'],['staff'],The staff is no nonsense.
610,['food'],[],Chinese Desserts are known for healthful benefits in addition to the sweetness.
611,['anecdotes/miscellaneous'],[],Wonderful at holiday time.
612,['food'],['portions'],And really large portions.
613,['anecdotes/miscellaneous'],[],The place is a lot of fun.
614,"['anecdotes/miscellaneous', 'service']",['staff'],This is a great Thai restaurant with a very friendly staff.
615,['anecdotes/miscellaneous'],[],"Have eaten at Ginger House several times, and it's always good."
616,['food'],['smoked salmon and roe appetizer'],I ordered the smoked salmon and roe appetizer and it was off flavor.
617,['food'],"['lunch', 'food']","We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food."
618,['food'],"['garlic shrimp', 'lamb', 'okra (bindi)']","I recommend the garlic shrimp, okra (bindi), and anything with lamb."
619,['anecdotes/miscellaneous'],[],"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place."
620,['anecdotes/miscellaneous'],[],"To give you an idea of how good we thought it was, we ended up going to Ping's three weekends in a row!!!"
621,['anecdotes/miscellaneous'],['waiter'],"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry."
622,['food'],"['menu', 'burger', 'steak', 'escargot']","The menu was impressive with selections ranging from a burger, to steak, to escargot."
623,['food'],['plate'],"In fact, two people could really share one plate."
624,['food'],['food'],The food is great and authentic.
625,['anecdotes/miscellaneous'],[],This was a repeat visit and we'll definitely be back again.
626,['anecdotes/miscellaneous'],[],during happy hour!
627,['anecdotes/miscellaneous'],['casual dinner'],Good for casual dinner with jeans and sneakers.
628,['anecdotes/miscellaneous'],[],Love YUKA.
629,"['food', 'price']","['food', 'price', 'wine list']","Anyway, the food is good, the price is right and they have a decent wine list."
630,['anecdotes/miscellaneous'],[],"Go, go, hurry, before everyone finds out about it."
631,"['food', 'price']","['Prices', 'chicken tikka marsala']",Prices are higher to dine in and their chicken tikka marsala is quite good.
632,['anecdotes/miscellaneous'],[],I am bringing my whole family back next time.
633,['food'],['styles of pizza'],This place has many different styles of pizza and they are all amazing.
634,['ambience'],['look'],The photos of the restaurant in its web site are way better than the real look.
635,['food'],"['food', 'portions']",The food was lousy - too sweet or too salty and the portions tiny.
636,['food'],['coconut rice'],But the coconut rice was good.
637,['service'],['appetizer'],It took them 25 minutes to bring our appetizer.
638,['anecdotes/miscellaneous'],[],A guaranteeed delight!
639,['anecdotes/miscellaneous'],[],I have been coming to this neighborhood spot for years.
640,['anecdotes/miscellaneous'],[],Overall I would recommend it and go back again.
641,['food'],['food'],The food was great.
642,"['food', 'price']","['food', 'beers on tap', 'wine list', 'priced']",Pair you food with the excellent beers on tap or their well priced wine list.
643,"['ambience', 'price']","['music', 'bottle minimun']",If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.
644,['food'],['food'],All of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.
645,['anecdotes/miscellaneous'],[],"Anyway, this is the last time I cross the williamsburg."
646,['ambience'],['spot'],Metrazur has a beautiful spot overlooking the main terminal.
647,['service'],"['staff', 'meal']",Friendly staff that actually lets you enjoy your meal and the company you're with.
648,['anecdotes/miscellaneous'],[],"When I'm feeling stressed by the noise and congestion around my office, I head for Cafe St. Bart's."
649,['anecdotes/miscellaneous'],[],Guess the 555Soul ads didn't launch her big modeling career.
650,"['service', 'ambience']",['table'],The restaurant is rather small but we were lucky to get a table quickly.
651,['anecdotes/miscellaneous'],[],"Besides, we were on vacation!"
652,['ambience'],[],I love this cozy around the way Rest.
653,"['food', 'price']","['Quality of food', 'price', 'pork', 'fish', 'chicken', 'lamb', 'vegetables']","Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables."
654,['anecdotes/miscellaneous'],[],Don't leave without trying One Night in Tokyo.
655,['anecdotes/miscellaneous'],[],Save yourself the time and trouble and skip this one!
656,['anecdotes/miscellaneous'],[],This is my favorite Italian restaurant in all of New York City.
657,['ambience'],"['seating', 'place']","The place is a little tight and on a cold day, the seating by the entranceway can be pretty drafty."
658,"['food', 'price']","['appetizing', 'price']",The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).
659,['food'],['bun'],"But, they were too big for the bun."
660,"['food', 'price']","['food', 'priced']","The food is fresh, delicious, and reasonably priced."
661,['food'],['fusion of French and Indian cooking'],Raga stands out with an interesting fusion of French and Indian cooking.
662,['food'],"['turnip cake', 'roast pork buns', 'egg custards']","A few tips: skip the turnip cake, roast pork buns and egg custards."
663,['food'],['bagels'],The bagels are fabulous.
664,['service'],"['seating in the garden', 'seats']","Oh yes, and they lie on the phone, claiming they have seating in the garden, then of course the seats are not available."
665,"['service', 'ambience']","['service', 'place', 'water']",Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.
666,"['food', 'ambience']","['food', 'place']","The food was very good, a great deal, and the place its self was great."
667,['food'],['food options'],The food options rule.
668,"['anecdotes/miscellaneous', 'price']",['cost'],A great choice at any cost and a great deal.
669,['food'],[],"Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary."
670,['food'],"['pre-theatre 3-course dinner', 'wine flight']","We ate here in March, 2006 and ordered the pre-theatre 3-course dinner with wine flight."
671,['anecdotes/miscellaneous'],[],Definately check it out!!!
672,['ambience'],"['lunch', 'dinner']","Probably much busier for lunch, it's seldom crowded for dinner (too close to downtown)."
673,['food'],['calzones'],"Their calzones are horrific, bad, vomit-inducing, YUCK."
674,['service'],['drink'],It takes forever to get a drink and they almost always forget to bring something (although they dont forget to charge you for it.
675,['ambience'],"['place', 'bar scene']",The place itself is beautiful the bar scene seems to be happening.
676,['service'],['staff'],"Saturday, Nov. 6th I had a group from work come in with about 35 people and the staff was amazing to accomodate us."
677,['food'],"['spreads', 'beverage selections', 'bagels']","Good spreads, great beverage selections and bagels really tasty."
678,['service'],"['waiter', 'specials', 'served']","First, the waiter who served us neglected to fill us in on the specials, which I would have chosen had I known about them."
679,['anecdotes/miscellaneous'],[],We will be back.
680,['food'],"['tiramisu', 'meal']","Also, top the meal with a delicious and perfect slice of tiramisu."
681,['anecdotes/miscellaneous'],[],It seems like this is a place the locals like and the people working here liked it too.
682,['ambience'],['secret back room'],Check out the secret back room.
683,['ambience'],['bar'],"It's also attached to Angel's Share, which is a cool, more romantic bar..."
684,"['food', 'service']","['food', 'service']","Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door."
685,['food'],['gulab jamun'],Stick to the gulab jamun.
686,"['food', 'service', 'ambience', 'price']","['prices', 'atmosphere', 'service', 'wine list']","I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list."
687,"['service', 'ambience']","['diner', 'wait staff', 'table']",I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.
688,"['food', 'ambience']","['meal', 'room']",With the theater 2 blocks away we had a delicious meal in a beautiful room.
689,"['ambience', 'anecdotes/miscellaneous']",[],"I was a little leary about Mary's at first - it's small, crowded and you usually have to wait on line - but I'm glad I finally tried it."
690,['anecdotes/miscellaneous'],[],We were not dissappointed in the least bit by this little gem.
691,['price'],[],Also very inexpensive.
692,['anecdotes/miscellaneous'],['dinner'],"We've only eaten in the restaurant once, but we have ordered many times for dinner."
693,['anecdotes/miscellaneous'],[],I got enough reasons to keep coming back!!!
694,['food'],"['pig feet ginger simmered in black vinegar', 'desserts with frog jelly']",By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.
695,"['food', 'price']","['food', 'priced']",The food is great and reasonably priced.
696,['ambience'],[],The characters really make for an enjoyable experience.
697,['food'],['thai cuisine'],I would definitely recommend SEA if you like thai cuisine!
698,['service'],"['crew', 'host']","Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor."
699,"['ambience', 'price', 'food']","['round tables', 'Taiwanese']","The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese."
700,['food'],"['portion', 'french fries']","My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had."
701,['anecdotes/miscellaneous'],[],You cannot go wrong with this place.
702,['anecdotes/miscellaneous'],['dinner'],"It is the type of place to run into old friends and have a late, raucus dinner."
703,['food'],"['food', 'dishes', 'specials', 'regular menu-fare']","The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment."
704,['price'],['Prices'],Prices are in line.
705,['food'],"['fresh tomato sauce', 'fresh mozz cheese', 'basil', 'dough', 'pizza', 'flour']","The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY."
706,['food'],['food'],The food is prepared quickly and efficiently.
707,['price'],[],and for this i had to shell out a small fortune?
708,['food'],"['Indian food', 'Paneer Roll']","For all of you new to Indian food, try the Paneer Roll, it is a piece of heaven."
709,['food'],"['food', 'plates']",The food looked very appetizing and delicious since it came on a variety of fancy plates.
710,['food'],"['fresh mozzerella slices', 'Plain Cheese slice']",Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.
711,['anecdotes/miscellaneous'],[],I have tried literally every restaurant on curry row.
712,['food'],['food'],"The food is terrible and overall, I would have to say avoid at all costs."
713,['anecdotes/miscellaneous'],[],"I've been to this monster sushi twice, the 46th st once, the 23rd st one a number of times."
714,['food'],['food'],"Unfortunately, the food was NOT something to get worked up about."
715,"['food', 'ambience']",['food'],"It's constantly open, catering to the Pakistani cabbies lined up on Crosby St., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh)."
716,['food'],['Filet Mignon with garlic mash'],I had Filet Mignon with garlic mash.
717,"['food', 'price']","['pre-theater menu', 'roasted tomato soup with chevre', 'steak frites', 'creme brulee']","I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous."
718,['service'],['waitstaff'],"The waitstaff were attentive, polite and helpful - an impressive feat in such close quarters."
719,['anecdotes/miscellaneous'],[],Go inside and you won't want to leave.
720,['anecdotes/miscellaneous'],[],I loving bringing friends here - and I do so every chance I get.
721,['food'],"['bread', 'pizza', 'margarite pizza with cold prosciutto and baby arugula on top', 'salad', ""Peter's Favourite pizza with prosciutto and baby arugula""]","- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad."
722,['price'],['prices'],"Yes, the prices are high, but I felt it was worth it."
723,['food'],"['bruschettas', 'paninis', 'tramezzinis']","The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating."
724,['service'],"['waiters', 'diners']","Have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners."
725,['food'],"['chef', 'dishes', 'cuisine', 'Indian']","While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs."
726,['service'],['owner'],The owner truly caters to all your needs.
727,"['service', 'food']",['food'],He takes real pride in his food and his business.
728,['anecdotes/miscellaneous'],[],Every time in New York I make it a point to visit Restaurant Saul on Smith Street.
729,['anecdotes/miscellaneous'],[],My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.
730,"['food', 'price']","['meal', 'pre-theater prix-fixe']","So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe."
731,['food'],"['food', 'wine', 'dining']","Over the years, it has always provided a pleasurable dining experience with quality food and wine."
732,['anecdotes/miscellaneous'],[],I would go back tho.
733,['food'],"['menu', 'fried chicken', 'pork chop', 'noodle dishes']","The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered."
734,['food'],[],too large for just two people but nothing was left.
735,['food'],['Indian food'],I cannot imagine better Indian food in all of the city.
736,['ambience'],"['privacy', 'corner booth table', 'place']",Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).
737,['anecdotes/miscellaneous'],[],A pleasant surprise.
738,['service'],"['manager', 'open faced cheese sandwich']",I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!
739,['ambience'],[],If you don't mind all that noise then go to the Chart House.
740,['anecdotes/miscellaneous'],[],We got most of it back at home with us.
741,['anecdotes/miscellaneous'],[],Get there before 7pm.
742,['food'],['breads'],very good breads as well.
743,['anecdotes/miscellaneous'],['naan'],"if this happens, just ask for real naan."
744,"['food', 'price']","['squid', 'half-price Saturday night option']",We were fans of the half-price Saturday night option until some inedible squid during a recent visit.
745,['ambience'],[],"So, if yo really don't care who is sittingnext to you, which is about 2 inches away, I would say try it."
746,['food'],"['Pizza', 'homemade pasta']","Pizza is terrific, as is homemade pasta."
747,['anecdotes/miscellaneous'],[],Definitely a neighborhood favorite.
748,['price'],['value ofr money'],This is a wonderful place on all stand points especially value ofr money.
749,['anecdotes/miscellaneous'],[],My first encounter happened one friday evening with a friend.
750,['price'],"['soup', 'mushrooms']",Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.
751,['service'],['Service'],"Service is not exactly five star, but thats not really a big deal."
752,['service'],['waiting'],There are other people waiting!
753,['food'],"['beginning appetizers', 'scallops', 'chocolate souffle with rasberry mint sorbet', 'taste']","From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations."
754,['anecdotes/miscellaneous'],[],OU MUST TRY THIS RESTAURANT.
755,['anecdotes/miscellaneous'],[],"We left, never to return."
756,['food'],['Japanese Tapas'],Consistently good Japanese Tapas.
757,['anecdotes/miscellaneous'],[],No apologies during restaurant week.
758,['food'],"['fish', 'rice', 'seaweed']","My goodness, everything from the fish to the rice to the seaweed was absolutely amazing."
759,['anecdotes/miscellaneous'],[],"This place started off a little iffy, but is now one of my favorite indian restaurants in NYC (and I'm indian, so I should know)."
760,['anecdotes/miscellaneous'],[],They also do a great job for restaurant week.
761,['anecdotes/miscellaneous'],[],I went to this restaurant with a woman that I met recently.
762,['food'],"['dishes', 'lamb sausages', 'sardines with biscuits', 'large whole shrimp', 'pistachio ice cream']","The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had)."
763,['anecdotes/miscellaneous'],[],This is where the aforementioned line was.
764,"['food', 'price']","['food', 'price']",The food is reliable and the price is moderate.
765,['ambience'],[],"Aside from the bearded, courdoroy blazer professor type with the NYU student he's sleeping with that week, you see a strange mix of hipsters, frat boys, Will Smith types who need to be told they are black, bitter cougars who cant understand why they arent married yet...."
766,"['food', 'service', 'ambience']","['ambiance', 'atmosphere', 'food', 'service']","While the ambiance and atmosphere were great, the food and service could have been a lot better."
767,['anecdotes/miscellaneous'],[],We always go there on the weekends and leave extremely full and satisfied.
768,['anecdotes/miscellaneous'],[],i dont how this place is still running.
769,['service'],"['server', 'food', 'drinks', 'served']",The server was really cool and served us our food and drinks with a smile.
770,['anecdotes/miscellaneous'],['food'],We were in search of food and stumbled on this block of Indian restaurants on East Sixth Street.
771,['food'],"['sushi', 'thai food']","Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too ."
772,['anecdotes/miscellaneous'],['Chef'],"Very excited to hear that short-term Chef Jason Narone has moved on, he truly was a low point of their Sterling track record."
773,['anecdotes/miscellaneous'],[],Excellent experience.
774,['anecdotes/miscellaneous'],[],"Well worth the trip, close to City Hall and downtown subway stops."
775,"['service', 'ambience']","['service', 'table']",I had to share my table with a loud group of kids and the service was rude an unattentive.
776,['anecdotes/miscellaneous'],[],What more could you want?
777,['anecdotes/miscellaneous'],[],"If you are the type of person who likes being scared and entertained, this is a great place to go and eat."
778,['anecdotes/miscellaneous'],[],"All in all, I don't see how you can go wrong."
779,['food'],"['garlic', 'fresh tomatoes', 'sauce on the pizza']",The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.
780,['ambience'],['outdoor seating'],"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me."
781,['food'],"['mesclun', 'salmon', 'ice cream', 'courses']","My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses."
782,['anecdotes/miscellaneous'],['wait'],We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.
783,"['food', 'ambience']","['food', 'place']",The food is usually good but it certainly isn't a relaxing place to go.
784,['anecdotes/miscellaneous'],[],I'm told that it is open 24hrs which is good.
785,"['food', 'service', 'ambience']","['staff', 'bistro fare', 'chilaquiles', 'jazz brunch', 'live jazz']","Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!"
786,['price'],['prices'],The prices were fantastic.
787,['anecdotes/miscellaneous'],[],What a great place!
788,"['food', 'price']","['bill', 'measures of liquers']","Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house..."
789,['service'],"['table service', 'service']","The table service could have been a little more attentive but as someone who also works in the service industry, I understood they were busy."
790,['food'],['thai food'],"It's not mind-blowing, but to me, thai food never is and never will be."
791,['food'],"['Food', 'pork belly', 'fat']","Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience)."
792,['food'],[],"Although, one night we went it was super cheesy, and another night it was less cheesy."
793,['ambience'],[],"Even though it is a little loud, you don't have to yell at each other to talk."
794,['food'],['food'],"i've been to sapphire twice and both times the food was fine, if not good."
795,['ambience'],"['tables', 'dinner', 'place']",It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.
796,['anecdotes/miscellaneous'],[],Was surprisingly disappointed.
797,"['food', 'price']",['pizza'],I love the fact that the pizza tastes so good and is so cheap.
798,['service'],['bar'],Nicky the Nose at the bar is a treat.
799,['anecdotes/miscellaneous'],[],I went to Ruby Foo's after work with a group of 6.
800,['anecdotes/miscellaneous'],[],I'm amazed we haven't been kicked out of this place yet.
801,['service'],['Service'],"Service was prompt, friendly and great."
802,['food'],"['lamb chop', 'salads', 'lemon', 'extra virgnin olive oil']","I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil."
803,['food'],['sushi'],The sushi was awful!
804,['anecdotes/miscellaneous'],[],Katz's has been a NYC original for over 100 years.
805,['price'],"['meal', 'cost', 'dishes']",You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.
806,['food'],"['Pastrami sandwich', 'beer', 'pickles']","The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience."
807,['food'],"['plain pizza', 'truffle oil', 'wild mushroom(third generation-Fornini) pizza']",The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.
808,['food'],['omelletes'],"Late nite omelletes are not good here, there is no variety!"
809,['food'],[],Everything at Sala Thai is tasty and well-portioned.
810,['service'],['tip'],"After all that, they complained to me about the small tip."
811,['price'],"['lunch', 'dinner']",It's a great place to pick up a cheap lunch or dinner.
812,['ambience'],['counter'],"Behind this counter, two men are squeezed in."
813,['anecdotes/miscellaneous'],[],Great find!!!
814,['anecdotes/miscellaneous'],[],"If only they delivered, they'd make a mint!"
815,"['food', 'service']","['fish', 'service', 'Sushi fix']","Whenever you need a Sushi fix, Mizu will be there with quality fish and great service."
816,['service'],['waitress'],"Our waitress was sweet and accomodating, not overbearing."
817,['service'],"['reservation sigh', 'table']",Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.
818,['anecdotes/miscellaneous'],['food'],I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.
819,"['ambience', 'anecdotes/miscellaneous']",['place'],The website and rating makes this place look wonderful but in reality it was very disappointing.
820,['food'],"['menu', 'food art']","Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art."
821,['ambience'],['outdoor atmosphere'],The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.
822,['price'],['toppings'],"A large is $20, and toppings are about $3 each."
823,['anecdotes/miscellaneous'],[],"In any event, this is a place I'll be sure to stop by again when I'm in this part of town."
824,['anecdotes/miscellaneous'],[],I definitely wouldn't go back.
825,['price'],[],It is not worth for that bucks.
826,['anecdotes/miscellaneous'],['pizza'],brick oven gallery is My pick for best pizza restaurant anywhere.
827,"['food', 'price', 'service']","['service', 'food', 'price']",Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
828,['food'],['Thai food'],"For many people, this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic."
829,['anecdotes/miscellaneous'],['bagels'],"Growing up in NY, I have eaten my share of bagels."
830,['price'],['bills'],"Oh, don't even let me start with how expensive the bills were!"
831,['anecdotes/miscellaneous'],[],A hearty two thumbs up!
832,['food'],"['scallion pancakes', 'fried dumplings']",The scallion pancakes and fried dumplings were nothing out of the ordinary.
833,['food'],"['appetizers', 'salads', 'steak', 'pasta']","All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!"
834,"['service', 'price']","['table', 'served', 'dishes', 'table', 'served', 'bill']","Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill."
835,['service'],['Service'],Service is top notch.
836,['food'],['food'],The food now is inconsistent.
837,['anecdotes/miscellaneous'],[],All pretty good.
838,['anecdotes/miscellaneous'],['dumpling'],"You can also special order any kind of dumpling,etc."
839,['anecdotes/miscellaneous'],[],you guys rock.
840,['anecdotes/miscellaneous'],[],Chance is a joke.
841,"['food', 'anecdotes/miscellaneous']",['fondue appetizer'],I was pretty much full after our fondue appetizer.
842,['food'],['spice'],BE CAREFUL before you request extra spice.
843,['food'],['Octopus salad'],The octopus eaters were floored by the Octopus salad.
844,['food'],"['foods', 'MSG cooking']",We thought that this place is using too much of MSG cooking in the foods.
845,['anecdotes/miscellaneous'],[],I was at Rao's last Wed.
846,['food'],['Tom Kha soup'],And the Tom Kha soup was pathetic.
847,['food'],['Bombay beer'],I started out with a Bombay beer which was big enough for two.
848,['ambience'],"['decor', 'dining hall', 'semi-private boths']","The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date."
849,['service'],['Service'],Service was quick.
850,['anecdotes/miscellaneous'],[],Tends to turn people away.
851,['anecdotes/miscellaneous'],[],We thought this a prelude to what the evening will be like.
852,['anecdotes/miscellaneous'],[],"I was turned on to this restaurant by a fellow foodie friend of mine, and have been going back regularly ever since."
853,['service'],['service'],Drawbacks: service is slow and they don't toast!
854,['anecdotes/miscellaneous'],['office lunch'],Went there for an office lunch.
